"Format","AiM CSV File"
"Session","K.B.Aires 2"
"Vehicle","Rotax Max EVO"
"Racer","Agustin Moles"
"Championship",""
"Comment",""
"Date","Thursday, June 25, 2026"
"Time","4:04 PM"
"Sample Rate","20"
"Duration","661.994"
"Segment","Session"
"Beacon Markers","58.687","110.413","161.662","213.46","264.134","315.27","365.557","415.827","466.191","516.335","567.155","617.42","661.994"
"Segment Times","0:58.687","0:51.726","0:51.249","0:51.798","0:50.674","0:51.136","0:50.287","0:50.270","0:50.364","0:50.144","0:50.820","0:50.265","0:44.574"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Steering Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","deg"

"0.000","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.050","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.100","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.150","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.200","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.250","0.2621","15","0.0000","0.0000","52.3657","-26.1076","0.0000","20.2978","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4453"
"0.300","0.2652","15","0.0000","0.0000","51.9718","-27.1596","0.0000","20.2988","890.0000","0.5400","10000.0000","-34.69772610","-58.46629754","0.0000","-2.4348"
"0.350","0.3039","15","0.0000","0.0000","52.6502","-71.4631","0.0000","20.3243","890.0000","0.5292","10000.0000","-34.69772604","-58.46629763","0.0000","-2.3297"